@name=Lodowa Mietusia
@fix=0
T1	T2	d	azm	fi	lf	rg	up	dw	lf2	rg2	up2	dw2	info
0	1	3.58	200.4	-32.3									
1	2	5.23	193.6	-15									
2	3	6.63	180.6	-20.9									
3	4	4.21	179.3	1.7									
4	1A	5.82	304.7	-47.3									
4	5	4.18	197.3	8.7									
4	1B	2.66	153.7	54.6									
1B	2B	3.16	51.7	39									
2B	3B	2.89	99.5	41.4									
3B	4B	4.62	133.2	38.4									
4B	5B	2.02	51.5	59.7									
5B	6B	2.66	106.9	19.7									
6B	7B	1.59	39.2	34.3									
7B	8B	3	104.7	30.4									
8B	9B	1.6	63.6	19.5									
4B	1C	0.95	306.5	12.9									
1C	2C	1.92	224.4	-2.8									
2C	3C	6.32	253.6	-60									
2	1D	1.83	134.7	33.3									
1D	2D	2.2	33.5	38									
