ID,Nazwa,Inne nazwy,Nr inw.,X 1992,Y 1992,H (wg PIG),B,L,Sektor (nazwa),Długość [m],Głębokość [m],Deniwelacja [m],Stan na rok,Link
1036,Jaskinia Filipczańska Niżnia,,T.B-24.04,"156826,5","578327,52",1190,"49,27391671","20,07713884",,14,0,"1,5",2010,https://jaskiniepolski.pgi.gov.pl/Details/Information/1036
1692,Szczelina pod Gankową II,,T.F-09.33,"152267,23","563744,25",1266,"49,23459299","19,87589498",D. Kościeliska - Wsch.,3,"0,7",1,2010,https://jaskiniepolski.pgi.gov.pl/Details/Information/1692
1575,Studnia przy Przechodzie,,T.E-12.39,"153113,17","567205,97","1610,4","49,2418333","19,92359727",D. Małej Łąki - Zach.,45,15,15,2013,https://jaskiniepolski.pgi.gov.pl/Details/Information/1575
4074,Szczelina w Czerwonym Groniku,,T.B-09.19,"155831,84","563951,85",1207,"49,26664164","19,87931666",Staników Żleb,"6,5",0,"2,8",2014,https://jaskiniepolski.pgi.gov.pl/Details/Information/4074
1652,Jaskinia Psia,,T.F-09.01,"152076,34","563509,46",1410,"49,23289999","19,87263893",D. Kościeliska - Wsch.,1076,"57,2",62,2019,https://jaskiniepolski.pgi.gov.pl/Details/Information/1652
1461,Ukryty Schron,,T.E-09.22,"152445,54","563569,6",1174,"49,2362154","19,87352374",D. Kościeliska - Wsch.,5,"0,9","0,9",2010,https://jaskiniepolski.pgi.gov.pl/Details/Information/1461
1719,Wielka Żabia Szpara,"Jaskinia Żabia w Siedmiu Granatach, Żabia",T.J-24.03,"149891,25","579383,12",1650,"49,21138887","20,09027783",,"35,8",26,26,2010,https://jaskiniepolski.pgi.gov.pl/Details/Information/1719
1589,Jaskinia w Kobylarzowym Żlebie,Jaskinia w Szarym Żlebie,T.E-12.49,"153393,4","566450,42",1780,"49,24443701","19,9132618",D. Miętusia - Wsch.,6,0,"4,5",2010,https://jaskiniepolski.pgi.gov.pl/Details/Information/1589
1685,Krasowa Nisza,,T.F-09.23,"152284,48","563791,78",1268,"49,23474324","19,87655075",D. Kościeliska - Wsch.,4,0,0,2010,https://jaskiniepolski.pgi.gov.pl/Details/Information/1685
1678,Ósemka,,T.F-09.17,"152250,91","563769,67",1239,"49,23444352","19,87624163",D. Kościeliska - Wsch.,5,1,"3,8",2010,https://jaskiniepolski.pgi.gov.pl/Details/Information/1678
