NR_INWENT,NAZWA,DLUGOSC,GLEBOKOSC,PRZEWYZSZE,DENIWELACJ,SYSTEM,OTWÓR,OPIS,WER_LOK,UWAGI,WERYF,GENEZA,FIELD,CREATED_US,CREATED_DA,LAST_EDITE,LAST_EDI_1,GLOBALID,TATER,Z,X1992,Y1992
T.E-08.75,Szczelinka w Głębowcu,"2,3",0,0,0,,,,,,0,jaskinia,0,,,SDE,2022-05-25 00:00:00,{D7C052E6-D584-4320-B886-367312D2219F},,"1297,367139","152971,36","562235,67"
T.D-13.05,Nyża pod Brzózką,4,0,0,0,,,,29-05-2020 FF NMT,,1,jaskinia,0,,,SDE,2022-05-25 00:00:00,{38626571-CAA6-4317-8900-D61A995020E9},,"1375,830628","154416,5","567679,48"
T.F-09.32,Szczelina pod Gankową I,"4,4",0,0,0,,,,,,0,jaskinia,0,,,SDE,2022-05-25 00:00:00,{998C78C8-FE66-4FF5-A708-B7FCEB35E0C8},,"1240,002327","152257,21","563743,52"
T.E-12.65,Nyża w Baranich Schodkach I,"5,9",0,"3,3","3,3",,,,11-02-2020 FF ortofotomapa,,1,jaskinia,0,,,SDE,2022-05-25 00:00:00,{3385780F-49AE-4A44-88D2-B5E0A44A6EEF},,"1794,120804","153213,19","566950,31"
T.D-08.45,Dziurawa Koleba,"4,5",0,0,0,,,,,,0,jaskinia,0,,,SDE,2022-05-25 00:00:00,{814F5451-68F8-4DB0-A52F-D7469D588938},,"1186,388327","153859,26","563126,37"
T.D-09.11,Dziura w Organach I,8,0,3,3,,,,,,0,jaskinia,0,,,SDE,2022-05-25 00:00:00,{1D079841-BA86-4F16-A9CD-DC89A215567E},,"1312,011073","153652,7","563328,75"
,Dziura pod Kotlinami,"6,5","1,4",0,0,,,,05-08-2021 FF NMT,,1,jaskinia,0,,,SDE,2022-05-25 00:00:00,{A92FF1D1-6B71-4A2F-995D-9F7F56003701},,"1709,266412","153002,83","567247,64"
T.D-16.02,Myślenicka Dziura,34,4,0,4,,,,21-01-2023 FF ortofotomapa 2019,,1,jaskinia,0,,,ffilar,2023-01-21 00:00:00,{6CE25FC0-E936-4473-BF8C-374DDAD70FF8},,"1265,419995","154332,52","570742,14"
T.E-11.18,Jaskinia Mała w Mułowej,3863,555,0,555,,,,11-03-2020 FF,,1,jaskinia,0,,,SDE,2022-05-25 00:00:00,{23287A45-D91F-46D7-A9B2-2C6EBFDA9764},,"1753,068244","152697,08","565655,63"
T.D-12.03,Schron Partyzantów,"7,5",4,0,4,,,,22-02-2020 FF,,1,jaskinia,0,,,SDE,2022-05-25 00:00:00,{F8CD0A11-3239-40F3-9473-2F3F67F09177},,"1441,081803","153857,1","566550,62"
T.E-09.25,Schron przy Arkadzie,6,0,0,0,,,,,,0,jaskinia,0,,,SDE,2022-05-25 00:00:00,{FBFEAEEE-59BD-41A0-80F7-5DF22CCFFDC4},,"1221,53891","152482,95","563585,61"
T.D-11.03,Szczelina w Niedźwiedziu,6,0,"1,5","1,5",,,,11-02-2020 FF ortofotomapa,,1,jaskinia,0,,,SDE,2022-05-25 00:00:00,{9DD1974D-1112-4D96-B545-149DEFF404F8},,"1535,266962","153895,02","566091,99"
T.E-07.38,Schronisko przy Jeleniej Perci,9,0,"2,3","2,3",,,,,,0,jaskinia,0,,,SDE,2022-05-25 00:00:00,{B6F7153B-1D72-4F3E-9B70-BEBBF10E52CF},,"1373,779577","152993,91","562117,66"
T.E-08.25,Jaskinia Ziobrowa,160,"1,6",17,"18,6",SYSTEM Ziobrowa,,,,,0,jaskinia,0,,,SDE,2022-05-25 00:00:00,{F98E8983-73F8-411C-AC19-A8159D2509EE},,"1075,590663","152736,38","562858,16"
T.D-08.34,Schron przed Sową III,"4,5",0,0,0,,,,,,0,jaskinia,0,,,SDE,2022-05-25 00:00:00,{999266F2-D9FD-4E23-95C7-B33DF9249882},,"1010,281746","153919,16","562896,87"
,Szczelina w Łomiku,"3,2",0,0,0,,,,7-12-2020 FF,,1,jaskinia,0,,,SDE,2022-05-25 00:00:00,{4B93FEA3-BF1A-4B34-BD98-0E41E9535BE9},,"1249,337206","156110,25","568939,79"
T.E-12.35,Dziura pod Świstową Studnią,"12,5","2,7",1,"3,7",,,,11-02-2020 FF ortofotomapa,,1,jaskinia,0,,,SDE,2022-05-25 00:00:00,{AE41691D-E8DC-446A-803F-0CEF3B31291E},,"1685,524588","153017,46","567244,57"
,Schron w Kondratowych Basztach,"3,4",0,"0,9",0,,,,23-08-2021 FF NMT,,1,jaskinia,0,,,SDE,2022-05-25 00:00:00,{61A88B7E-F4D7-448E-89C5-22F89BA5BAEF},,"1564,720792","153392,77","568279,1"
,Szczelina w Zameczkach,"4,2",0,"2,3",0,,,,6-10-2021 FF NMT,,1,jaskinia,0,,,SDE,2022-05-25 00:00:00,{5760C06D-8E78-4D2C-A4DF-2A3FCB0BF8B2},,"1362,970544","155087,54","569205,61"
T.D-12.06,Nisza przy Zagonie,7,0,0,0,,,,22-02-2020 FF,,1,jaskinia,0,,,SDE,2022-05-25 00:00:00,{D1D15AFB-85BE-4030-9CDE-B5185CA4AEDB},,"1704,767986","153674,94","566321,93"
