jktz_object_id,source,identifier_type,identifier_value,scope,match_status
JKTZ-OBJ-000001,Geoportal_PIG,PIG_ID,4587,cave_context,cave_single_object_assumed
JKTZ-OBJ-000001,TPN,GLOBALID,{D7C052E6-D584-4320-B886-367312D2219F},object,source_object
JKTZ-OBJ-000001,TPN,NR_INWENT,T.E-08.75,cave_context,matched_inventory
JKTZ-OBJ-000002,Geoportal_PIG,PIG_ID,1205,cave_context,cave_single_object_assumed
JKTZ-OBJ-000002,TPN,GLOBALID,{38626571-CAA6-4317-8900-D61A995020E9},object,source_object
JKTZ-OBJ-000002,TPN,NR_INWENT,T.D-13.05,cave_context,matched_inventory
JKTZ-OBJ-000003,Geoportal_PIG,PIG_ID,1691,cave_context,cave_single_object_assumed
JKTZ-OBJ-000003,TPN,GLOBALID,{998C78C8-FE66-4FF5-A708-B7FCEB35E0C8},object,source_object
JKTZ-OBJ-000003,TPN,NR_INWENT,T.F-09.32,cave_context,matched_inventory
JKTZ-OBJ-000004,Geoportal_PIG,PIG_ID,1612,cave_context,cave_single_object_assumed
JKTZ-OBJ-000004,TPN,GLOBALID,{3385780F-49AE-4A44-88D2-B5E0A44A6EEF},object,source_object
JKTZ-OBJ-000004,TPN,NR_INWENT,T.E-12.65,cave_context,matched_inventory
JKTZ-OBJ-000005,Geoportal_PIG,PIG_ID,1136,cave_context,cave_single_object_assumed
JKTZ-OBJ-000005,TPN,GLOBALID,{814F5451-68F8-4DB0-A52F-D7469D588938},object,source_object
JKTZ-OBJ-000005,TPN,NR_INWENT,T.D-08.45,cave_context,matched_inventory
JKTZ-OBJ-000006,Geoportal_PIG,PIG_ID,1184,cave_context,cave_single_object_assumed
JKTZ-OBJ-000006,TPN,GLOBALID,{1D079841-BA86-4F16-A9CD-DC89A215567E},object,source_object
JKTZ-OBJ-000006,TPN,NR_INWENT,T.D-09.11,cave_context,matched_inventory
JKTZ-OBJ-000007,TPN,GLOBALID,{A92FF1D1-6B71-4A2F-995D-9F7F56003701},object,source_object
JKTZ-OBJ-000008,Geoportal_PIG,PIG_ID,1226,cave_context,cave_single_object_assumed
JKTZ-OBJ-000008,TPN,GLOBALID,{6CE25FC0-E936-4473-BF8C-374DDAD70FF8},object,source_object
JKTZ-OBJ-000008,TPN,NR_INWENT,T.D-16.02,cave_context,matched_inventory
JKTZ-OBJ-000009,Geoportal_PIG,PIG_ID,1495,cave_context,cave_single_object_assumed
JKTZ-OBJ-000009,TPN,GLOBALID,{23287A45-D91F-46D7-A9B2-2C6EBFDA9764},object,source_object
JKTZ-OBJ-000009,TPN,NR_INWENT,T.E-11.18,cave_context,matched_inventory
JKTZ-OBJ-000010,Geoportal_PIG,PIG_ID,1210,cave_context,cave_single_object_assumed
JKTZ-OBJ-000010,TPN,GLOBALID,{F8CD0A11-3239-40F3-9473-2F3F67F09177},object,source_object
JKTZ-OBJ-000010,TPN,NR_INWENT,T.D-12.03,cave_context,matched_inventory
JKTZ-OBJ-000011,Geoportal_PIG,PIG_ID,1464,cave_context,cave_single_object_assumed
JKTZ-OBJ-000011,TPN,GLOBALID,{FBFEAEEE-59BD-41A0-80F7-5DF22CCFFDC4},object,source_object
JKTZ-OBJ-000011,TPN,NR_INWENT,T.E-09.25,cave_context,matched_inventory
JKTZ-OBJ-000012,Geoportal_PIG,PIG_ID,1199,cave_context,cave_single_object_assumed
JKTZ-OBJ-000012,TPN,GLOBALID,{9DD1974D-1112-4D96-B545-149DEFF404F8},object,source_object
JKTZ-OBJ-000012,TPN,NR_INWENT,T.D-11.03,cave_context,matched_inventory
JKTZ-OBJ-000013,Geoportal_PIG,PIG_ID,1342,cave_context,cave_single_object_assumed
JKTZ-OBJ-000013,TPN,GLOBALID,{B6F7153B-1D72-4F3E-9B70-BEBBF10E52CF},object,source_object
JKTZ-OBJ-000013,TPN,NR_INWENT,T.E-07.38,cave_context,matched_inventory
JKTZ-OBJ-000014,Geoportal_PIG,PIG_ID,1363,cave_context,cave_single_object_assumed
JKTZ-OBJ-000014,TPN,GLOBALID,{F98E8983-73F8-411C-AC19-A8159D2509EE},object,source_object
JKTZ-OBJ-000014,TPN,NR_INWENT,T.E-08.25,cave_context,matched_inventory
JKTZ-OBJ-000015,Geoportal_PIG,PIG_ID,1123,cave_context,cave_single_object_assumed
JKTZ-OBJ-000015,TPN,GLOBALID,{999266F2-D9FD-4E23-95C7-B33DF9249882},object,source_object
JKTZ-OBJ-000015,TPN,NR_INWENT,T.D-08.34,cave_context,matched_inventory
JKTZ-OBJ-000016,TPN,GLOBALID,{4B93FEA3-BF1A-4B34-BD98-0E41E9535BE9},object,source_object
JKTZ-OBJ-000017,Geoportal_PIG,PIG_ID,1570,cave_context,cave_single_object_assumed
JKTZ-OBJ-000017,TPN,GLOBALID,{AE41691D-E8DC-446A-803F-0CEF3B31291E},object,source_object
JKTZ-OBJ-000017,TPN,NR_INWENT,T.E-12.35,cave_context,matched_inventory
JKTZ-OBJ-000018,TPN,GLOBALID,{61A88B7E-F4D7-448E-89C5-22F89BA5BAEF},object,source_object
JKTZ-OBJ-000019,TPN,GLOBALID,{5760C06D-8E78-4D2C-A4DF-2A3FCB0BF8B2},object,source_object
JKTZ-OBJ-000020,Geoportal_PIG,PIG_ID,1216,cave_context,cave_single_object_assumed
JKTZ-OBJ-000020,TPN,GLOBALID,{D1D15AFB-85BE-4030-9CDE-B5185CA4AEDB},object,source_object
JKTZ-OBJ-000020,TPN,NR_INWENT,T.D-12.06,cave_context,matched_inventory
JKTZ-OBJ-000021,Geoportal_PIG,PIG_ID,1312,cave_context,cave_single_object_assumed
JKTZ-OBJ-000021,TPN,GLOBALID,{D3CBAA6B-3606-410F-966E-C456312CA3C2},object,source_object
JKTZ-OBJ-000021,TPN,NR_INWENT,T.E-07.17,cave_context,matched_inventory
JKTZ-OBJ-000022,Geoportal_PIG,PIG_ID,4106,cave_context,cave_single_object_assumed
JKTZ-OBJ-000022,TPN,GLOBALID,{0B841FD6-F169-4101-B7A1-13349B2E1714},object,source_object
JKTZ-OBJ-000022,TPN,NR_INWENT,T.B-12.11,cave_context,matched_inventory
JKTZ-OBJ-000023,Geoportal_PIG,PIG_ID,1460,cave_context,cave_single_object_assumed
JKTZ-OBJ-000023,TPN,GLOBALID,{B1F9FAAC-54C4-4E08-A474-CB2CEAD0F2A9},object,source_object
JKTZ-OBJ-000023,TPN,NR_INWENT,T.E-09.21,cave_context,matched_inventory
JKTZ-OBJ-000024,Geoportal_PIG,PIG_ID,1473,cave_context,cave_single_object_assumed
JKTZ-OBJ-000024,TPN,GLOBALID,{E03549BE-8CD5-4C62-865B-15FC23EC2AB2},object,source_object
JKTZ-OBJ-000024,TPN,NR_INWENT,T.E-11.06,cave_context,matched_inventory
JKTZ-OBJ-000025,Geoportal_PIG,PIG_ID,1558,cave_context,cave_single_object_assumed
JKTZ-OBJ-000025,TPN,GLOBALID,{B342F3C4-2EB2-4F37-BAA0-C0356B2332DD},object,source_object
JKTZ-OBJ-000025,TPN,NR_INWENT,T.E-12.23,cave_context,matched_inventory
JKTZ-OBJ-000026,Geoportal_PIG,PIG_ID,4146,cave_context,cave_single_object_assumed
JKTZ-OBJ-000026,TPN,GLOBALID,{7214936D-EDAA-436F-919F-4E57B947EA74},object,source_object
JKTZ-OBJ-000026,TPN,NR_INWENT,T.D-08.65,cave_context,matched_inventory
JKTZ-OBJ-000027,TPN,GLOBALID,{B70FDCF8-521F-4619-9B06-77D598113DCF},object,source_object
JKTZ-OBJ-000028,Geoportal_PIG,PIG_ID,1165,cave_context,cave_single_object_assumed
JKTZ-OBJ-000028,TPN,GLOBALID,{828E69B9-913C-4FEC-BB29-A74214B52584},object,source_object
JKTZ-OBJ-000028,TPN,NR_INWENT,T.D-08.57,cave_context,matched_inventory
JKTZ-OBJ-000029,Geoportal_PIG,PIG_ID,1493,cave_context,cave_single_object_assumed
JKTZ-OBJ-000029,TPN,GLOBALID,{6765FD85-422E-4241-A4CC-6E06612D0EB1},object,source_object
JKTZ-OBJ-000029,TPN,NR_INWENT,T.E-11.38,cave_context,matched_inventory
JKTZ-OBJ-000030,Geoportal_PIG,PIG_ID,4720,cave_context,cave_single_object_assumed
JKTZ-OBJ-000030,TPN,GLOBALID,{F67B912E-F7AA-4F5E-AF7E-EF9EFEAE6C64},object,source_object
JKTZ-OBJ-000030,TPN,NR_INWENT,T.D-22.04,cave_context,matched_inventory
JKTZ-OBJ-000031,Geoportal_PIG,PIG_ID,1424,cave_context,cave_single_object_assumed
