jktz_object_id,object_type,object_subtype,name,source_name,object_label,cave_inventory_id,cave_name,cave_assignment_status,current_observation_id,current_source,current_x1992,current_y1992,current_z,current_lat_wgs84,current_lon_wgs84,accuracy_class,verification_status,review_status,notes,source_tpn_globalid,import_key
JKTZ-OBJ-000001,otwor_jaskini,jaskinia,Szczelinka w Głębowcu,Szczelinka w Głębowcu,,T.E-08.75,Szczelinka w Głębowcu,explicit,JKTZ-OBS-000001,TPN,152971.36,562235.67,1297.367139,,,nieokreslona,niezweryfikowane,ok,,{D7C052E6-D584-4320-B886-367312D2219F},tpn:{D7C052E6-D584-4320-B886-367312D2219F}
JKTZ-OBJ-000002,otwor_jaskini,jaskinia,Nyża pod Brzózką,Nyża pod Brzózką,,T.D-13.05,Nyża pod Brzózką,explicit,JKTZ-OBS-000002,TPN,154416.5,567679.48,1375.830628,,,nieokreslona,zweryfikowane,ok,,{38626571-CAA6-4317-8900-D61A995020E9},tpn:{38626571-CAA6-4317-8900-D61A995020E9}
JKTZ-OBJ-000003,otwor_jaskini,jaskinia,Szczelina pod Gankową I,Szczelina pod Gankową I,,T.F-09.32,Szczelina pod Gankową I,explicit,JKTZ-OBS-000003,TPN,152257.21,563743.52,1240.002327,,,nieokreslona,niezweryfikowane,ok,,{998C78C8-FE66-4FF5-A708-B7FCEB35E0C8},tpn:{998C78C8-FE66-4FF5-A708-B7FCEB35E0C8}
JKTZ-OBJ-000004,otwor_jaskini,jaskinia,Nyża w Baranich Schodkach I,Nyża w Baranich Schodkach I,,T.E-12.65,Nyża w Baranich Schodkach I,explicit,JKTZ-OBS-000004,TPN,153213.19,566950.31,1794.120804,,,nieokreslona,zweryfikowane,ok,,{3385780F-49AE-4A44-88D2-B5E0A44A6EEF},tpn:{3385780F-49AE-4A44-88D2-B5E0A44A6EEF}
JKTZ-OBJ-000005,otwor_jaskini,jaskinia,Dziurawa Koleba,Dziurawa Koleba,,T.D-08.45,Dziurawa Koleba,explicit,JKTZ-OBS-000005,TPN,153859.26,563126.37,1186.388327,,,nieokreslona,niezweryfikowane,ok,,{814F5451-68F8-4DB0-A52F-D7469D588938},tpn:{814F5451-68F8-4DB0-A52F-D7469D588938}
JKTZ-OBJ-000006,otwor_jaskini,jaskinia,Dziura w Organach I,Dziura w Organach I,,T.D-09.11,Dziura w Organach I,explicit,JKTZ-OBS-000006,TPN,153652.7,563328.75,1312.011073,,,nieokreslona,niezweryfikowane,ok,,{1D079841-BA86-4F16-A9CD-DC89A215567E},tpn:{1D079841-BA86-4F16-A9CD-DC89A215567E}
JKTZ-OBJ-000007,otwor_jaskini,jaskinia,Dziura pod Kotlinami,Dziura pod Kotlinami,,,,missing,JKTZ-OBS-000007,TPN,153002.83,567247.64,1709.266412,,,nieokreslona,zweryfikowane,needs_inventory_id,Brak NR_INWENT w zrodle TPN.,{A92FF1D1-6B71-4A2F-995D-9F7F56003701},tpn:{A92FF1D1-6B71-4A2F-995D-9F7F56003701}
JKTZ-OBJ-000008,otwor_jaskini,jaskinia,Myślenicka Dziura,Myślenicka Dziura,,T.D-16.02,Myślenicka Dziura,explicit,JKTZ-OBS-000008,TPN,154332.52,570742.14,1265.419995,,,nieokreslona,zweryfikowane,ok,,{6CE25FC0-E936-4473-BF8C-374DDAD70FF8},tpn:{6CE25FC0-E936-4473-BF8C-374DDAD70FF8}
JKTZ-OBJ-000009,otwor_jaskini,jaskinia,Jaskinia Mała w Mułowej,Jaskinia Mała w Mułowej,,T.E-11.18,Jaskinia Mała w Mułowej,explicit,JKTZ-OBS-000009,TPN,152697.08,565655.63,1753.068244,,,nieokreslona,zweryfikowane,ok,,{23287A45-D91F-46D7-A9B2-2C6EBFDA9764},tpn:{23287A45-D91F-46D7-A9B2-2C6EBFDA9764}
JKTZ-OBJ-000010,otwor_jaskini,jaskinia,Schron Partyzantów,Schron Partyzantów,,T.D-12.03,Schron Partyzantów,explicit,JKTZ-OBS-000010,TPN,153857.1,566550.62,1441.081803,,,nieokreslona,zweryfikowane,ok,,{F8CD0A11-3239-40F3-9473-2F3F67F09177},tpn:{F8CD0A11-3239-40F3-9473-2F3F67F09177}
JKTZ-OBJ-000011,otwor_jaskini,jaskinia,Schron przy Arkadzie,Schron przy Arkadzie,,T.E-09.25,Schron przy Arkadzie,explicit,JKTZ-OBS-000011,TPN,152482.95,563585.61,1221.53891,,,nieokreslona,niezweryfikowane,ok,,{FBFEAEEE-59BD-41A0-80F7-5DF22CCFFDC4},tpn:{FBFEAEEE-59BD-41A0-80F7-5DF22CCFFDC4}
