FROM,TO,DISTANCE,AZIMUTH,INCLINATION
0,1,1.2,130.0,0.0
1,2,4.0,0.0,-90.0
2,3,4.65,148.0,-22.0
3,4,1.8,130.0,-4.0
4,5,7.05,0.0,-90.0
5,6,2.45,144.0,-9.0
6,7,2.65,133.0,-15.0
7,8,1.95,126.0,6.0
8,9,2.78,140.0,12.0
9,10,2.71,145.0,-11.0
10,11,2.63,128.0,25.0
11,12,1.25,105.0,0.0
12,13,1.42,132.0,4.0
13,14,1.47,120.0,6.0
14,15,2.92,143.0,40.0
15,16,2.27,145.0,67.0
16,17,2.0,125.0,35.0
17,18,2.5,140.0,22.0
18,19,4.3,145.0,-15.0
19,20,2.0,190.0,-15.0
2,2.1,2.35,310.0,13.0
2.1,2.2,3.5,310.0,-45.0
2.2,2.3,1.2,310.0,0.0
2,2.10,5.8,0.0,-90.0
2.10,2.10.1,2.8,310.0,10.0
2.10,5.1,2.0,130.0,-60.0
2.10,4,7.0,140.0,40.0
5,5.1,5.05,323.0,13.0
6,6.1,2.76,0.0,-90.0
6.1,6.2,3.7,310.0,-25.0
7,7.1,4.42,130.0,-50.0
10,10.1,3.56,0.0,-90.0
