FROM,TO,DISTANCE,AZIMUTH,INCLINATION
0,0,6.56,242.0,0.0
0,0,7.0,273.0,0.0
0,0,3.2,81.0,0.0
0,1,1.11,41.0,-15.0
1,2,6.6,305.0,0.0
2,3,2.7,334.0,0.0
3,4,4.45,327.0,12.0
4,5,4.1,38.0,29.0
5,6,2.03,62.0,-4.0
6,7,2.88,0.0,-6.0
7,8,4.9,20.0,-45.0
8,8.1,4.2,126.0,0.0
8.1,8.2,1.03,145.0,0.0
8.2,8.3,4.87,170.0,-5.0
8.3,8.4,5.28,185.0,-2.0
8.4,8.5,2.5,134.0,-10.0
8.5,8.6,2.72,183.0,11.0
8.6,1,3.05,223.0,33.0
8.2,8.2.1,4.54,240.0,8.0
5,5.1,2.6,332.0,6.0
5.1,5.2,6.66,300.0,54.0
5.2,5.3,2.5,330.0,0.0
8,9,4.67,12.0,-2.0
9,10,2.43,34.0,-38.0
10,11,4.66,268.0,10.0
11,12,3.1,268.0,15.0
12,12.1,5.4,158.0,-2.0
12.1,8,4.03,114.0,0.0
11,11.1,2.0,9.0,17.0
11.1,11.2,2.53,10.0,-44.0
11.2,11.3,2.6,44.0,-21.0
11.3,11.4,3.0,147.0,-27.0
12,13,5.31,284.0,10.0
13,14,4.36,334.0,1.0
14,15,5.16,323.0,0.0
15,16,2.2,305.0,45.0
16,16,3.9,181.0,-4.0
16,14,5.43,97.0,-12.0
16,17,3.55,275.0,-7.0
17,18,3.46,283.0,-6.0
18,19,5.67,268.0,20.0
19,20,3.88,2.0,-32.0
20,21,4.44,310.0,-17.0
21,22,3.5,260.0,0.0
16,16.1,2.45,337.0,-8.0
16.1,16.2,2.9,340.0,-3.0
16.2,16.3,1.0,0.0,90.0
16.3,16.4,2.02,342.0,-3.0
16.4,16.5,3.48,333.0,-22.0
16.5,16.6,1.1,318.0,-17.0
16.6,16.6.1,3.1,290.0,39.0
16.6,16.7,2.4,26.0,-23.0
16.7,16.7.1,6.18,296.0,-4.0
16.7.1,16.7.2,3.9,207.0,7.0
16.7.2,16.7.3,3.6,187.0,20.0
16.7,16.8,1.19,102.0,0.0
16.8,16.8.1,3.47,160.0,35.0
16.8.1,16.5,2.27,288.0,-13.0
16.8,16.9,1.74,28.0,-12.0
16.9,16.10,4.55,84.0,-26.0
16.10,16.10.1,3.75,95.0,0.0
16.10,16.11,6.98,357.0,-25.0
16.11,16.12,2.29,307.0,1.0
16.12,16.13,3.07,317.0,13.0
16.13,16.14,6.3,260.0,0.0
16.14,16.15,1.6,170.0,0.0
16.15,16.16,2.4,260.0,0.0
14,14.1,5.4,0.0,90.0
14.1,14.2,1.5,318.0,15.0
14.2,14.2,3.15,333.0,-8.0
14.2,14.2,2.0,50.0,5.0
14.2,14.3,4.62,204.0,27.0
14.3,14.4,3.5,141.0,26.0
14.4,14.5,2.5,230.0,-15.0
14.5,14.5.1,3.0,107.0,0.0
14.5,14.6,3.25,241.0,18.0
14.6,14.7,3.5,178.0,28.0
14.7,14.8,2.8,145.0,28.0
14.8,14.9,3.0,75.0,10.0
14.8,14.8.1,3.0,255.0,40.0
14.2,14.2.1,1.85,133.0,50.0
14.2.1,14.2.2,3.25,104.0,34.0
14.2.2,14.2.3,3.6,168.0,25.0
14.2.3,14.2.4,1.78,150.0,25.0
14.2.4,14.2.5,1.5,130.0,0.0
14.2.5,14.2.6,3.0,220.0,30.0
10,10.1,1.5,354.0,-30.0
10.1,10.2,4.6,66.0,-28.0
10.2,10.3,4.46,145.0,18.0
10.3,10.4,2.43,105.0,-47.0
10.4,10.4.1,1.3,240.0,-30.0
10.4.1,10.4.2,1.85,310.0,-39.0
10.4.2,10.4.3,1.0,220.0,0.0
10.4,10.5,4.95,73.0,-19.0
10.5,10.6,1.86,169.0,-18.0
10.6,10.7,3.18,136.0,8.0
10.7,10.8,3.75,114.0,42.0
10.8,10.9,5.4,114.0,-47.0
10.9,10.10,2.63,22.0,-25.0
10.10,10.11,1.5,83.0,-13.0
10.11,10.12,2.5,13.0,-73.0
10.12,10.13,1.49,123.0,-30.0
10.13,10.14,3.3,144.0,-37.0
10.14,10.15,2.4,35.0,-32.0
10.15,10.16,2.1,21.0,-13.0
10.16,10.17,2.2,0.0,90.0
10.17,10.18,1.6,70.0,0.0
10.18,10.19,3.4,163.0,-27.0
10.9,10.9,2.56,320.0,5.0
10.9,10.9,5.25,318.0,-33.0
10.9,10.9.1,2.65,126.0,27.0
10.9.1,10.9.2,2.58,64.0,35.0
10.9.2,10.9.3,3.9,357.0,33.0
10.9.3,10.9.4,5.7,274.0,-25.0
10.9.4,10.7,4.6,251.0,-28.0
