FROM,TO,DISTANCE,AZIMUTH,INCLINATION
0,1,13.3,297.0,-19.0
1,2,10.15,287.0,-9.0
2,3,9.15,343.0,-7.0
3,4,3.55,318.0,8.0
4,5,2.25,36.0,-10.0
5,6,3.1,81.0,12.0
6,7,6.6,20.0,4.0
7,8,3.0,17.0,20.0
3,3,4.6,42.0,5.0
5,5,3.25,35.0,9.0
3,3.1,1.6,265.0,12.0
3.1,3.1.1,3.75,238.0,-10.0
3.1.1,3.1.2,1.65,0.0,-90.0
3.1,3.2,1.4,275.0,30.0
3.2,3.3,1.9,268.0,5.0
3.3,3.1.1,2.5,188.0,-40.0
3.3,3.4,2.25,8.0,11.0
3.4,3.5,2.4,3.0,-38.0
3.5,3.5.1,2.8,198.0,-34.0
3.5.1,3.5.2,1.95,294.0,-22.0
3.5.2,3.5.3,1.65,225.0,10.0
3.5,3.6,2.3,2.0,29.0
3.6,3.7,2.25,8.0,0.0
3.7,3.8,3.1,10.0,-21.0
3.8,3.9,3.5,356.0,22.0
