Gorickova   (m, 360)

[1]: 2012/01/12     0.00  


     1.0                   0.000    0.00    0.00         
     1.0                   4.838  105.14   23.79  [1]    
     1.0         1.1       1.422   12.84    6.81  [1]    
     1.0         1.1       1.423   13.93    6.54  [1]    
     1.0         1.1       1.421   14.04    6.53  [1]    
     1.1         1.2       1.423   12.46    6.83  [1]    
     1.1         1.2       1.423   12.45    6.82  [1]    
     1.1         1.2       1.422   11.39    6.96  [1]    
     1.2                   5.101  279.84   24.97  [1]    
     1.2                   1.409  185.40   16.38  [1]    
     1.2                   2.605  160.77   24.26  [1]    
     1.2                   1.581   33.39    5.69  [1]    
     1.2                   1.454  359.61   -2.24  [1]    
     1.2                   1.575   33.87    5.63  [1]    
     1.2                   1.408  135.60   18.61  [1]    
     1.2                   1.651  137.84   15.07  [1]    
     1.2                   2.274  122.24  -11.68  [1]    
     1.2                   3.869  237.99   18.23  [1]    
     1.2                   3.005  186.92  -48.20  [1]    
     1.2                   2.884  258.56   86.71  [1]    
     1.2                   3.407  341.91   -1.36  [1]    
     1.2                   3.161  150.84    2.01  [1]    
     1.2                   5.763  292.92  -22.47  [1]    
     1.2                   4.809  288.00  -21.46  [1]    
     1.2                   4.845  241.57    3.98  [1]    
     1.2                   9.183   69.40   77.12  [1]    
     1.2                   3.181   18.84    0.38  [1]    
     1.2                   8.816  170.63   74.90  [1]    
     1.2                   5.031  309.62    3.02  [1]    
     1.2                   3.182  347.59   19.71  [1]    
     1.2                   5.609  231.83   30.23  [1]    
     1.2                   7.122  283.29   40.82  [1]    
     1.2                   6.347  149.25   21.96  [1]    
     1.2                   2.939  159.23  -62.46  [1]    
     1.2                   2.713  150.56  -79.13  [1]    
     1.2                   1.763  325.68   18.77  [1]    
     1.2                   4.985  200.23   27.05  [1]    
     1.2                   2.081  160.58   27.26  [1]    
     1.2                   3.616  190.63  -31.68  [1]    
     1.2                   3.551  278.81  -64.36  [1]    
     1.2                   7.207   46.90  -35.60  [1]    
     1.2                   1.882  116.15  -21.52  [1]    
     1.2                   6.360   39.05  -31.18  [1]    
     1.2                   1.889  107.84  -17.66  [1]    
     1.2                   2.180  215.63  -27.58  [1]    
     1.2                   5.926  359.01  -18.26  [1]    
     1.2                   2.773   35.43  -20.17  [1]    
     1.2                   4.774   57.19  -34.32  [1]    
     1.2                   2.819  255.46  -68.81  [1]    
     1.2                   1.814  295.55   17.83  [1]    
     1.2                   2.123  131.02   16.43  [1]    
     1.2                   2.946   84.69  -28.70  [1]    
     1.2                   2.794   96.03   44.31  [1]    
     1.2                   4.352  112.29  -28.54  [1]    
     1.2                   5.980  104.87   -1.05  [1]    
     1.2                   3.606   49.21   61.11  [1]    
     1.2                   3.340   45.74   61.69  [1]    
     1.2                   3.561   48.92   61.78  [1]    
     1.2                   3.368   92.69  -10.34  [1]    
     1.2                  11.624  297.66  -37.41  [1]    
     1.2                   4.256  293.41  -37.66  [1]    
     1.2                   5.411  107.14   31.02  [1]    
     1.2                   3.635  294.65    8.17  [1]    
     1.2                   2.250   27.19  -20.55  [1]    
     1.2                   3.798  105.74   25.48  [1]    
     1.2                   6.579  353.73    7.88  [1]    
     1.2                  77.811  238.49    6.43  [1]    
     1.2                   2.725   28.99  -22.47  [1]    
     1.2                   1.439  238.50    6.59  [1]    
     1.2                   1.303  249.27   12.11  [1]    
     1.2                  14.571  143.93  -28.34  [1]    
     1.2                  15.022  144.26  -28.34  [1]    
     1.2                   1.009  261.72   16.01  [1]    
     1.2                   0.690   67.30   17.59  [1]    
     1.2                   3.325  145.34  -28.50  [1]    
     1.2                   2.321   55.43  -19.17  [1]    
     1.2                   1.072  357.98   -5.59  [1]    
     1.2                   1.778   31.18  -15.68  [1]    
     1.2                   2.499  117.33   -4.30  [1]    
     1.2                   2.464  318.96   21.88  [1]    
     1.2                   6.620  254.99   52.47  [1]    
     1.2                   2.757  243.52   50.17  [1]    
     1.2                   2.690  138.39    2.96  [1]    
     1.2                   2.660  138.28    2.96  [1]    
     1.2                   2.690  134.96   13.23  [1]    
     1.2                   2.725  130.05    9.73  [1]    
