Gorickovaim   (m, 360)

[1]: 2012/01/12     0.00  


     1.0                   0.000    0.00    0.00         
     1.0                   2.920  257.82   87.87  [1]    
     1.0                   6.820  287.31   87.59  [1]    
     1.0                   6.800    0.29  -21.32  [1]    
     1.0                   7.040   76.26   -2.46  [1]    
     1.0                   2.590  224.45   26.74  [1]    
     1.0                   4.040   51.84  -28.33  [1]    
     1.0                   4.110  118.04    1.84  [1]    
     1.0                   5.580   13.35   82.08  [1]    
     1.0                   5.860  321.81    0.01  [1]    
     1.0                  12.460  145.65  -88.68  [1]    
     1.0                   7.330   25.08   49.93  [1]    
     1.0                   7.320   25.20   49.19  [1]    
     1.0                   3.290  257.56    4.40  [1]    
     1.0                   1.560  335.18    3.03  [1]    
     1.0                   1.660  187.86    8.61  [1]    
     1.0                   3.319  230.54  -84.85  [1]    
     1.0                   1.588  312.64   88.83  [1]    
     1.0                   8.431  356.03   84.01  [1]    
     1.0                   2.457  344.51    1.72  [1]    
     1.0                   4.177  122.90   32.98  [1]    
     1.0                   0.636  223.96  -46.54  [1]    
     1.0                   4.203  122.92   32.89  [1]    
     1.0                   4.165  122.84   33.03  [1]    
     1.0                   2.217  164.43  -83.80  [1]    
     1.0                   1.438   33.24   -2.01  [1]    
     1.0                   1.822  121.90    4.92  [1]    
     1.0                   1.711   61.75   -6.71  [1]    
     1.0                   7.752  242.80   89.40  [1]    
     1.0                   7.747  254.51   89.46  [1]    
     1.0                   2.179   95.20    7.14  [1]    
     1.0                   2.544  181.22  -31.37  [1]    
     1.0                   2.072  263.36  -44.98  [1]    
     1.0                   4.173   57.60  -28.73  [1]    
     1.0                   3.066   79.93    1.49  [1]    
     1.0                   3.386   81.56   -0.51  [1]    
     1.0                   4.675   38.77    6.66  [1]    
     1.0                   1.292  243.34   87.36  [1]    
     1.0                   6.952  226.66   34.18  [1]    
     1.0                   4.212  124.80  -87.38  [1]    
     1.0                   1.128  114.82    8.61  [1]    
     1.0                   1.757  318.82    7.16  [1]    
     1.0                   1.566   85.13   25.54  [1]    
     1.0                   3.299   16.94    5.28  [1]    
     1.0                   4.609   59.10  -68.00  [1]    
     1.0                   2.729  211.06   10.57  [1]    
     1.0                   4.325   27.92    1.65  [1]    
     1.0                   3.528   30.24    1.68  [1]    
     1.0                   5.302   19.11    0.21  [1]    
     1.0                   0.591  287.70   -6.59  [1]    
     1.0                   1.662  254.35    8.26  [1]    
     1.0                   4.967  298.89   82.11  [1]    
     1.0                   7.575    0.95  -89.80  [1]    
     1.0                   1.378  241.02   21.21  [1]    
     1.0                   4.012   25.81   -2.92  [1]    
     1.0                   4.248  300.84  -31.22  [1]    
     1.0                   2.387  185.29  -86.81  [1]    
     1.0                   2.842  218.74   -0.01  [1]    
     1.0                   1.704  355.92   10.87  [1]    
     1.0                   3.298  208.70    0.18  [1]    
     1.0                   4.701   51.63   43.18  [1]    
     1.0                   4.985  165.16    2.81  [1]    
     1.0                   4.931  216.56  -18.15  [1]    
     1.0                   2.722  263.37  -37.88  [1]    
     1.0                   7.794   51.89   56.85  [1]    
     1.0                   6.831  196.24   -9.44  [1]    
     1.0                   1.563  272.35  -73.95  [1]    
     1.0                   3.623  117.16   34.35  [1]    
     1.0                   2.317  117.50   31.56  [1]    
     1.0                   1.759  232.28   -0.62  [1]    
     1.0                   0.956  181.69   12.19  [1]    
     1.0                   4.749  188.05   -0.48  [1]    
     1.0                   6.260  307.74  -44.30  [1]    
     1.0                  12.361  324.17   84.53  [1]    
     1.0                   1.698   56.68    3.57  [1]    
     1.0                   3.154  147.75  -22.68  [1]    
     1.0                   4.077  320.65   84.19  [1]    
     1.0                   2.883  152.11   14.31  [1]    
     1.0                   8.518  335.43   23.63  [1]    
     1.0                   2.952   21.45   82.12  [1]    
     1.0                   4.374   74.87    8.14  [1]    
     1.0                   5.117  252.56    3.61  [1]    
     1.0                   6.671  110.01   30.67  [1]    
     1.0                   6.657  109.96   30.64  [1]    
     1.0                   1.950   23.87   -0.91  [1]    
     1.0                   2.472   52.81   46.09  [1]    
     1.0                   1.380  126.36   -1.38  [1]    
     1.0                   2.830   51.74   12.79  [1]    
     1.0                   7.950   23.63   32.79  [1]    
     1.0                   1.947    8.97  -20.01  [1]    
     1.0                   1.896  311.92  -41.12  [1]    
     1.0                   5.112  133.64   16.46  [1]    
     1.0                   5.412   26.11   37.46  [1]    
     1.0                   6.077   11.39   20.46  [1]    
     1.0                   4.232  208.23  -13.98  [1]    
     1.0                   7.818  293.14   16.52  [1]    
     1.0                   2.537   42.06   83.96  [1]    
     1.0                   6.286  155.08    6.30  [1]    
     1.0                   4.543  239.90  -19.78  [1]    
     1.0                   4.948   94.33   -1.36  [1]    
     1.0                   2.521  171.27  -36.59  [1]    
     1.0                   2.551  229.33   86.59  [1]    
     1.0                   2.311  295.26    8.03  [1]    
     1.0                   4.035  307.70   24.41  [1]    
     1.0                   4.075  159.89    1.99  [1]    
     1.0                   8.068  222.38  -18.06  [1]    
     1.0                   7.955  196.39  -30.75  [1]    
     1.0                   3.009  123.74  -10.52  [1]    
     1.0                   5.447  133.03   -7.98  [1]    
     1.0                   2.604  114.57   -1.99  [1]    
     1.0                   1.453  276.92   -7.32  [1]    
     1.0                   3.933  318.51   21.32  [1]    
     1.0                   5.926   75.10   11.55  [1]    
     1.0                   1.739  167.05  -38.30  [1]    
     1.0                   3.291  185.22   -6.90  [1]    
     1.0                   2.187  259.70  -45.87  [1]    
     1.0                   1.662   33.72  -45.47  [1]    
     1.0                   1.337   68.48  -44.19  [1]    
     1.0                   2.036  272.30  -73.90  [1]    
     1.0                   6.884   41.95    6.65  [1]    
     1.0                   3.525   29.61   25.71  [1]    
     1.0                   2.212  322.53   87.67  [1]    
     1.0                   2.067  355.47  -28.71  [1]    
     1.0                   2.074  355.67  -29.19  [1]    
     1.0                   2.069  343.14    1.02  [1]    
     1.0                   2.689   48.30    3.75  [1]    
     1.0                   2.129   52.41   42.97  [1]    
     1.0                   3.596   12.88    7.29  [1]    
     1.0                   1.959  275.59    9.39  [1]    
     1.0                   2.533  350.33    4.74  [1]    
     1.0                   3.888   45.73  -34.85  [1]    
     1.0                   3.398  194.57  -87.71  [1]    
