Bandzioch Kominiarski Project
Segment: /...
Vector total: 141  Report Date: 03/26/20 22:57
Component 1 of 1 - Reference Station:  1
Length: 768.44 Meters
High Pt: 111.07 (BD007),  Low Pt: -1.23 (0)

PREFIX	NAME	EAST	NORTH	UP	NOTE

	0	3.48	-0.34	-1.23
	1	0.00	0.00	0.00
	2	-8.36	1.55	1.50
	3	-17.17	0.01	3.76
	4	-18.99	-2.06	2.78
	5	-17.99	-5.88	2.32
	6	-27.47	-7.58	6.63
	7	-28.16	-8.21	4.92
	8	-34.69	-8.93	5.24
	9	-35.32	-9.14	7.12
	10	-38.54	-8.71	5.71
	11	-41.27	-8.52	4.91
	12	-42.95	-10.11	6.14
	13	-44.84	-12.12	5.66
	14	-50.10	-15.11	9.85
	15	-50.44	-13.63	10.62
	16	-54.16	-14.83	12.97
	17	-63.07	-16.08	13.23
	18	-64.30	-16.69	12.34
	19	-67.00	-15.39	12.80
	20	-68.15	-16.32	13.37
	21	-69.53	-14.65	14.89
	22	-72.54	-16.79	15.92
	23	-80.49	-21.00	19.56
	24	-85.15	-24.54	22.73
	25	-67.66	-16.30	14.93
	26	-69.07	-15.50	18.00
	27	-70.70	-13.37	20.29
	28	-72.07	-14.53	22.81
	29	-73.47	-13.23	24.03
	30	-75.49	-13.58	25.56
	31	-76.09	-14.17	28.57
	32	-95.08	-29.71	28.01
	33	-94.25	-27.13	28.69
	34	-89.43	-25.34	26.77
	35	-87.93	-25.54	24.89
	36	-84.42	-24.15	26.87
	37	-77.99	-18.77	26.61
	38	-73.42	-12.76	26.93
	39	-70.45	-7.20	27.37
	40	-64.57	-4.54	26.35
	41	-61.49	-3.42	25.28
	42	-55.75	1.42	24.06
	43	-49.68	-5.63	15.39
	44	-44.46	-6.44	6.86
	BD	-172.45	-73.53	103.77
	BD001	-168.35	-69.84	105.25
	BD002	-162.42	-70.68	106.85
	BD003	-159.69	-63.17	109.45
	BD004	-154.57	-58.87	109.80
	BD005	-152.34	-58.44	108.74
	BD006	-150.64	-55.49	108.68
	BD007	-151.63	-51.81	111.07
	BD008	-147.77	-53.53	106.53
	BD009	-147.26	-56.74	103.28
	BD010	-138.17	-50.38	101.13
	BD011	-135.71	-48.78	101.75
	BD012	-133.38	-36.80	101.75
	BD014	-125.45	-29.56	97.47
	BD015	-124.27	-28.34	97.64
	BD016	-124.27	-26.34	97.64
	BD017	-121.45	-24.05	92.25
	BD018	-119.19	-29.94	90.68
	BD019	-117.51	-29.16	84.98
	BD020	-112.98	-26.95	80.11
	BD021	-105.31	-32.52	73.96
	BD022	-103.94	-29.45	73.49
	BD023	-94.90	-24.84	68.75
	BD024	-93.56	-23.35	68.75
	BD025	-87.46	-26.07	69.22
	BD026	-84.70	-27.53	71.02
	BD027	-80.57	-25.15	63.39
	BD028	-75.39	-25.15	62.29
	BD029	-70.21	-27.04	63.26
	BD030	-67.06	-28.85	65.36
	BD031	-66.15	-31.09	68.03
	BD032	-56.21	-34.71	68.59
	BD033	-50.73	-36.92	69.63
	BD034	-49.24	-39.05	74.13
	BD035	-47.27	-39.97	75.38
	BD036	-48.56	-41.50	75.38
	BD037	-44.87	-47.40	70.51
	BD038	-46.79	-49.01	70.51
	BD039	-48.38	-51.78	70.40
	BD040	-46.06	-57.00	67.73
	BD041	-47.90	-58.83	67.73
	BD042	-45.70	-62.36	65.33
	BD043	-41.43	-61.22	62.99
	BD044	-39.51	-59.29	61.72
	BD045	-36.43	-59.29	60.28
	BD046	-37.33	-64.41	58.18
	BD047	-31.87	-64.41	55.03
	BD048	-27.94	-71.23	53.64
	BD049	-21.37	-74.29	51.70
	BD050	-9.50	-74.29	41.74
	BD051	-1.36	-71.33	36.74
	BD052	-0.66	-63.36	26.50
	BD053	1.19	-60.71	25.81	3 Dno
	BDA	-131.52	-30.30	99.94
	FR.SZ	48.20	-50.07	30.50
	Y0	6.25	-2.60	-0.47
	Y1	5.36	-5.06	0.13
	Y2	7.10	-7.73	0.41
	Y3	6.48	-11.28	1.24
	Y4	8.91	-13.17	2.36
	Y5	10.58	-16.30	2.55
	Y6	14.52	-17.89	5.10
	Y7	15.87	-21.99	6.59
	Y8	20.41	-26.69	9.10
	Y9	25.07	-29.36	12.08
	Y10	27.03	-33.95	15.07
	Y11	30.05	-33.14	17.70
	Y12	32.21	-34.59	17.93
	Y13	31.68	-35.68	18.78
	Y14	30.03	-37.73	18.92
	Y15	28.13	-41.81	18.04
	Y16	26.75	-42.61	18.35
	Y17	22.84	-42.75	19.94
	Y18	14.63	-44.21	23.30
	Y19	8.45	-47.24	25.81
	Y20	3.23	-56.70	25.81
	Y112	30.44	-33.74	15.84
	Y113	36.02	-37.21	15.72
	Y114	41.56	-37.49	16.21
	Y115	46.82	-37.30	18.02
	Y116	51.39	-46.64	25.30
	Y117	60.13	-50.70	25.81
	Y118	60.13	-50.70	24.31
	Y119	61.03	-48.07	21.98
	Y120	58.54	-46.06	20.05
	Y115A	49.70	-37.09	17.13
	Y115B	53.31	-31.50	19.30
	Y115C	58.86	-28.66	16.39
	Y115D	63.70	-23.45	16.77
	Y115E	67.49	-22.91	11.69
	Y115F	69.06	-23.38	10.99
	Y115G	67.86	-19.50	10.05
	Y115H	72.83	-15.60	10.72
	Y115I	72.47	-8.79	18.30
	Y118A	63.95	-47.00	26.90
	Y118B	60.70	-43.41	35.63
	Y16A	31.11	-43.53	15.12

Station total: 142
