Zrzut pomiarów z pliku PocketTopo .top
========================================
Plik: Czarna-zimna.top
Data tripu: 2011-10-02 00:00:00
Liczba tripów: 1
Liczba strzałów: 756
Liczba referencji: 0
Deklinacja: 0.00°
Komentarz tripu: (brak)

Komentarze do strzałów:
- #83: 1.22 -> (bez stacji docelowej) | syfon
- #143: 1.38 -> (bez stacji docelowej) | do brzegu jeziorka
- #144: 1.38 -> 1.39 | brzeg kamienia
- #195: 1.55 -> 1.56 | do wystepu na skale tuz za wyjsciem z rury, po lewej stronie, troche wyzej niz polowa wysokosci
- #233: 1.67 -> 1.68 | do czubka stalagmita
- #319: 1.91 -> 1.92 | do kraty, przy wejsciu gdzie zwykle zaczepiona na kracie lina. Na wysokosci batinoxa, ok. 50 cm do osi otworu od niego.
- #754: 1.220 -> 1.221 | otwor Zimnej, strop nad otworem, okolo polowy szerokosci

Pełna lista strzałów:
lp	from	to	dist[m]	az[°]	inc[°]	roll[°]	flip	trip	komentarz
1	1	(brak)	0.000	0.00	0.00	0.00		-1	
2	1	(brak)	5.510	80.62	27.61	355.78		0	
3	1	(brak)	0.660	16.52	83.53	25.31		0	
4	1	1.1	2.310	219.48	-7.08	313.59		0	
5	1	1.1	2.310	219.48	-7.10	313.59		0	
6	1	1.1	2.320	219.48	-6.99	312.19		0	
7	1.1	(brak)	4.340	119.32	47.10	130.78		0	
8	1.1	1.2	4.980	161.95	29.45	42.19		0	
9	1.1	1.2	4.990	162.00	29.48	42.19		0	
10	1.1	1.2	4.990	161.90	29.48	42.19		0	
11	1.2	1.3	3.170	173.52	31.45	305.16		0	
12	1.2	1.3	3.170	173.40	31.72	303.75		0	
13	1.2	1.3	3.170	173.59	31.61	303.75		0	
14	1.3	(brak)	3.830	279.73	-46.74	331.88		0	
15	1.3	(brak)	0.630	140.72	-55.74	236.25		0	
16	1.3	(brak)	1.000	281.22	50.16	313.59		0	
17	1.3	1.4	5.350	223.90	-33.69	306.56		0	
18	1.3	1.4	5.350	223.58	-33.72	306.56		0	
19	1.3	1.4	5.360	223.84	-33.62	306.56		0	
20	2.4	(brak)	3.140	311.02	-36.25	337.50		0	
21	2.4	1.400	4.770	137.08	39.83	180.00		0	
22	2.4	1.400	4.770	137.28	39.66	180.00		0	
23	2.4	1.400	4.750	137.62	39.50	122.34		0	
24	1.400	1.5	1.720	30.91	5.34	226.41		0	
25	1.400	1.5	1.730	30.38	5.60	226.41		0	
26	1.400	1.5	1.740	30.38	5.85	225.00		0	
27	1.5	1.6	2.560	75.27	43.96	316.41		0	
28	1.5	1.6	2.550	75.21	43.90	316.41		0	
29	1.5	1.6	2.560	75.58	43.83	316.41		0	
