FROM,TO,DISTANCE,AZIMUTH,INCLINATION
0,1,9.18,234.0,0.0
1,2,9.62,230.0,9.0
2,3,7.2,205.0,8.0
3,4,5.48,195.0,-4.0
4,5,6.35,230.0,1.0
5,6,10.05,321.0,5.0
6,7,7.14,199.0,3.0
7,8,2.52,160.0,42.0
8,9,4.08,199.0,42.0
9,10,1.5,198.0,42.0
3,3.1,3.45,200.0,9.0
3.1,3.2,4.05,105.0,78.0
3.2,3.3,3.65,165.0,56.0
3.3,3.4,0.5,75.0,0.0
3.4,3.5,4.75,100.0,-36.0
3.5,3.6,2.57,124.0,-62.0
3.6,3.7,3.7,189.0,20.0
3.7,3.8,3.4,237.0,42.0
3.8,3.9,2.25,150.0,25.0
3.9,3.10,1.9,114.0,-14.0
3.10,3.11,2.0,165.0,-15.0
3.6,3.6.1,3.8,10.0,-45.0
3.9,3.9.1,3.2,290.0,25.0
