FROM,TO,DISTANCE,AZIMUTH,INCLINATION
0,1,11.15,206.0,-5.0
1,2,8.3,212.0,15.0
2,3,4.25,274.0,-11.0
3,4,6.85,271.0,-21.0
4,5,6.85,279.0,-15.0
5,6,6.13,268.0,25.0
6,7,3.6,257.0,-8.0
7,8,3.85,0.0,-90.0
8,9,1.65,0.0,-90.0
8,8.11,2.4,235.0,-42.0
8.11,8.12,1.8,0.0,-90.0
8.12,8.13,2.0,290.0,-50.0
8.13,8.14,1.5,270.0,20.0
8.12,8.12.1,1.6,90.0,0.0
8,8.01,3.57,127.0,-12.0
8.01,8.02,3.03,88.0,0.0
8,8.1,3.93,273.0,3.0
8.1,8.2,4.85,288.0,-10.0
8.2,8.3,2.45,255.0,24.0
8.3,8.4,2.6,257.0,22.0
8.4,8.5,1.5,255.0,0.0
8.2,8.2.1,5.1,33.0,-31.0
8.2.1,8.2.2,3.25,332.0,-50.0
8.2.2,8.2.3,5.1,58.0,-23.0
8.2.3,8.2.4,2.08,57.0,0.0
8.2.4,8.2.5,4.75,97.0,-30.0
8.2.5,8.2.6,3.8,86.0,0.0
8.2.6,8.2.7,5.5,77.0,6.0
8.2.7,8.2.8,7.0,65.0,45.0
8.2.3,8.2.3.1,1.75,307.0,8.0
8.2.3.1,8.2.3.2,5.68,295.0,32.0
8.2.3.2,8.2.3.3,4.36,260.0,-30.0
8.2.3.3,8.2.3.4,3.1,247.0,-31.0
8.2.3.2,8.2.3.2.1,3.9,316.0,-34.0
8.2.3.2.1,8.2.3.2.2,2.5,285.0,-12.0
8.2.3.2.1,8.2.3.2.1.1,2.5,35.0,-59.0
8.2.3.2.1.1,8.2.3.2.1.2,2.0,50.0,0.0
8.2.3.3,8.2.3.3.1,1.95,165.0,3.0
8.2.3.3.1,8.2.3.3.2,2.65,196.0,15.0
8.2.3.3.2,8.2.3.3.3,3.15,191.0,35.0
8.2.3.3.3,8.2.3.3.4,4.85,173.0,61.0
8.2.3.3.4,8.3,3.5,132.0,2.0
8.3,8.3.1,6.2,288.0,62.0
8.3.1,8.3.2,4.3,282.0,57.0
8.3.2,8.3.3,2.0,53.0,14.0
