FROM,TO,DISTANCE,AZIMUTH,INCLINATION
0,1,2.54,116.0,4.0
1,2,4.45,112.0,0.0
2,3,2.2,110.0,0.0
3,4,1.9,105.0,0.0
4,5,0.85,113.0,0.0
5,6,1.7,133.0,0.0
6,7,1.0,119.0,0.0
7,8,3.2,113.0,5.0
1,1,2.5,34.0,0.0
2,2.1,5.0,27.0,0.0
2.1,2.2,2.8,38.0,0.0
3,3.1,1.7,45.0,0.0
3.1,3.2,3.4,30.0,0.0
3.1,3.1.1,2.2,50.0,0.0
4,4.1,2.9,40.0,0.0
5,5.1,5.5,37.0,0.0
7,7.1,7.1,38.0,3.0
7,7.11,2.5,198.0,25.0
7.11,7.12,2.8,195.0,-10.0
6,5.11,3.35,234.0,0.0
5,5.11,3.55,204.0,0.0
5.11,5.12,3.0,225.0,10.0
5.12,5.13,3.0,205.0,0.0
5.13,5.14,2.4,235.0,0.0
5.14,5.15,2.6,182.0,0.0
5.15,5.16,1.95,146.0,0.0
5.16,5.17,1.87,205.0,22.0
5.17,5.18,3.5,235.0,-6.0
5.18,5.19,3.65,210.0,0.0
5.19,5.20,1.0,248.0,-5.0
5.20,5.21,2.5,205.0,10.0
5.21,5.22,2.5,245.0,0.0
5.22,5.23,2.0,235.0,18.0
5.23,5.24,7.9,220.0,0.0
5.15,5.15.1,3.3,53.0,0.0
5.15,5.15.11,5.4,223.0,0.0
5.16,5.16.1,5.5,60.0,28.0
5.16.1,5.16.2,4.2,38.0,-7.0
5.16.2,5.16.3,5.15,42.0,0.0
5.17,5.17.1,2.2,190.0,12.0
5.17.1,5.17.2,5.8,207.0,0.0
5.17.2,5.17.3,1.8,200.0,15.0
5.17.3,5.17.4,3.0,196.0,0.0
5.17.1,5.17.1.1,4.5,37.0,0.0
5.16,5.18,5.1,225.0,4.0
5.18,5.18.1,4.8,242.0,0.0
