srv_file,srv_line,srv_from,srv_to,srv_az_deg,srv_inc_deg,srv_dist_m,srv_lrud_raw,srv_record_raw,model_leg_no,model_segment,model_leg_dump3d,model_from,model_to,model_leg_reversed,model_dx_m,model_dy_m,model_dz_m,model_dist_m,delta_dist_m,model_az_deg,delta_az_deg,model_inc_deg,delta_inc_deg,loop_111_116,abs_delta_dist_gt_0_01,srv_sha256,status_obserwacji,status_lrud,interpretacja_modelu
CZSR.SRV,26,nvk28,nvk29,329.0,-70.0,2.64,"<0.00,2.00,1.00,0.00>","nvk28	nvk29	329.00	-70.00	2.64	<0.00,2.00,1.00,0.00>",16,Nova_Kresanica.NK_03,LEG -27.47 -9.18 -41.59 -27.94 -8.41 -44.07 [Nova_Kresanica.NK_03],Nova_Kresanica.NK_03.28,Nova_Kresanica.NK_03.29,False,-0.47,0.77,-2.48,2.63898,-0.00102,328.60054,-0.39946,-70.01097,-0.01097,False,False,27c96ae600633d80979edeacf38a1c8e19c00908729935bc00278a7fe379a399,brak pierwotnego dziennika; cyfry niepotwierdzone,brak w cave.3d,zgodna para stacji; roznice zaokraglenia wspolrzednych
CZSR.SRV,27,nvk29,nvk29a,35.0,0.0,3.02,,nvk29	nvk29a	35.00	0.00	3.02,120,Nova_Kresanica.NK_03,LEG -27.94 -8.41 -44.07 -26.21 -5.94 -44.07 [Nova_Kresanica.NK_03],Nova_Kresanica.NK_03.29,Nova_Kresanica.NK_03.29a,False,1.73,2.47,0.0,3.01559,-0.00441,35.00759,0.00759,0.0,0.0,False,False,27c96ae600633d80979edeacf38a1c8e19c00908729935bc00278a7fe379a399,brak pierwotnego dziennika; cyfry niepotwierdzone,nie dotyczy,zgodna para stacji; roznice zaokraglenia wspolrzednych
CZSR.SRV,28,nvk29,nvk30,201.0,-47.0,3.39,"<1.50,0.00,0.30,0.30>","nvk29	nvk30	201.00	-47.00	3.39	<1.50,0.00,0.30,0.30>",17,Nova_Kresanica.NK_03,LEG -27.94 -8.41 -44.07 -28.77 -10.57 -46.55 [Nova_Kresanica.NK_03],Nova_Kresanica.NK_03.29,Nova_Kresanica.NK_03.30,False,-0.83,-2.16,-2.48,3.39189,0.00189,201.01973,0.01973,-46.98342,0.01658,False,False,27c96ae600633d80979edeacf38a1c8e19c00908729935bc00278a7fe379a399,brak pierwotnego dziennika; cyfry niepotwierdzone,brak w cave.3d,zgodna para stacji; roznice zaokraglenia wspolrzednych
CZSR.SRV,29,nvk30,nvk31,233.0,-25.0,1.82,"<1.50,0.00,0.30,0.30>","nvk30	nvk31	233.00	-25.00	1.82	<1.50,0.00,0.30,0.30>",18,Nova_Kresanica.NK_03,LEG -28.77 -10.57 -46.55 -30.08 -11.56 -47.32 [Nova_Kresanica.NK_03],Nova_Kresanica.NK_03.30,Nova_Kresanica.NK_03.31,False,-1.31,-0.99,-0.77,1.81359,-0.00641,232.92074,-0.07926,-25.12363,-0.12363,False,False,27c96ae600633d80979edeacf38a1c8e19c00908729935bc00278a7fe379a399,brak pierwotnego dziennika; cyfry niepotwierdzone,brak w cave.3d,zgodna para stacji; roznice zaokraglenia wspolrzednych
CZSR.SRV,30,nvk31,nvk32,244.0,-27.0,1.88,"<1.00,0.00,0.30,0.30>","nvk31	nvk32	244.00	-27.00	1.88	<1.00,0.00,0.30,0.30>",19,Nova_Kresanica.NK_03,LEG -30.08 -11.56 -47.32 -31.59 -12.29 -48.17 [Nova_Kresanica.NK_03],Nova_Kresanica.NK_03.31,Nova_Kresanica.NK_03.32,False,-1.51,-0.73,-0.85,1.88029,0.00029,244.19885,0.19885,-26.87576,0.12424,False,False,27c96ae600633d80979edeacf38a1c8e19c00908729935bc00278a7fe379a399,brak pierwotnego dziennika; cyfry niepotwierdzone,brak w cave.3d,zgodna para stacji; roznice zaokraglenia wspolrzednych
CZSR.SRV,31,nvk32,nvk33,216.5,-7.5,2.38,"<0.00,0.60,1.60,0.00>","nvk32	nvk33	216.50	-7.50	2.38	<0.00,0.60,1.60,0.00>",20,Nova_Kresanica.NK_03,LEG -31.59 -12.29 -48.17 -32.99 -14.19 -48.48 [Nova_Kresanica.NK_03],Nova_Kresanica.NK_03.32,Nova_Kresanica.NK_03.33,False,-1.4,-1.9,-0.31,2.38036,0.00036,216.38435,-0.11565,-7.48303,0.01697,False,False,27c96ae600633d80979edeacf38a1c8e19c00908729935bc00278a7fe379a399,brak pierwotnego dziennika; cyfry niepotwierdzone,brak w cave.3d,zgodna para stacji; roznice zaokraglenia wspolrzednych
CZSR.SRV,32,nvk33,nvk34,1.5,-52.5,1.61,"<2.00,1.00,0.00,7.00>","nvk33	nvk34	1.50	-52.50	1.61	<2.00,1.00,0.00,7.00>",21,Nova_Kresanica.NK_03,LEG -32.99 -14.19 -48.48 -32.97 -13.21 -49.76 [Nova_Kresanica.NK_03],Nova_Kresanica.NK_03.33,Nova_Kresanica.NK_03.34,False,0.02,0.98,-1.28,1.6122,0.0022,1.16914,-0.33086,-52.55567,-0.05567,False,False,27c96ae600633d80979edeacf38a1c8e19c00908729935bc00278a7fe379a399,brak pierwotnego dziennika; cyfry niepotwierdzone,brak w cave.3d,zgodna para stacji; roznice zaokraglenia wspolrzednych
CZSR.SRV,33,nvk34,nvk35,242.0,-12.0,7.83,"<0.50,0.50,2.00,1.00>","nvk34	nvk35	242.00	-12.00	7.83	<0.50,0.50,2.00,1.00>",22,Nova_Kresanica.NK_03,LEG -32.97 -13.21 -49.76 -39.73 -16.81 -51.38 [Nova_Kresanica.NK_03],Nova_Kresanica.NK_03.34,Nova_Kresanica.NK_03.35,False,-6.76,-3.6,-1.62,7.82828,-0.00172,241.96272,-0.03728,-11.9432,0.0568,False,False,27c96ae600633d80979edeacf38a1c8e19c00908729935bc00278a7fe379a399,brak pierwotnego dziennika; cyfry niepotwierdzone,brak w cave.3d,zgodna para stacji; roznice zaokraglenia wspolrzednych
CZSR.SRV,34,nvk35,nvk36,199.0,5.5,2.78,"<0.50,0.50,0.00,0.60>","nvk35	nvk36	199.00	5.50	2.78	<0.50,0.50,0.00,0.60>",23,Nova_Kresanica.NK_03,LEG -39.73 -16.81 -51.38 -40.63 -19.42 -51.12 [Nova_Kresanica.NK_03],Nova_Kresanica.NK_03.35,Nova_Kresanica.NK_03.36,False,-0.9,-2.61,0.26,2.77303,-0.00697,199.02561,0.02561,5.37997,-0.12003,False,False,27c96ae600633d80979edeacf38a1c8e19c00908729935bc00278a7fe379a399,brak pierwotnego dziennika; cyfry niepotwierdzone,brak w cave.3d,zgodna para stacji; roznice zaokraglenia wspolrzednych
CZSR.SRV,35,nvk36,nvk37,265.5,9.5,3.23,"<0.50,1.00,1.00,0.00>","nvk36	nvk37	265.50	9.50	3.23	<0.50,1.00,1.00,0.00>",24,Nova_Kresanica.NK_03,LEG -40.63 -19.42 -51.12 -43.81 -19.67 -50.59 [Nova_Kresanica.NK_03],Nova_Kresanica.NK_03.36,Nova_Kresanica.NK_03.37,False,-3.18,-0.25,0.53,3.23354,0.00354,265.50486,0.00486,9.43374,-0.06626,False,False,27c96ae600633d80979edeacf38a1c8e19c00908729935bc00278a7fe379a399,brak pierwotnego dziennika; cyfry niepotwierdzone,brak w cave.3d,zgodna para stacji; roznice zaokraglenia wspolrzednych
